"","FinalID","OriginalTraitValue","ConTemp","Kelvin","Tref","B0","T0","Th","E","Tm","Eh","Tpk"
"238","MTD3413",1.5209168,10.88415,284.03415,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"239","MTD3413",1.1309018,16.012894,289.162894,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"240","MTD3413",0.5775883,20.849543,293.999543,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"241","MTD3413",2.0801978,25.903326,299.053326,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"242","MTD3413",3.5476594,31.071798,304.221798,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"243","MTD3413",2.8541086,35.96317,309.11317,284.03415,1.5209168,284.03415,284.03415,0.65,309.11317,1.3,304.221798
"244","MTD3414",0.58638793,10.806441,283.956441,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"245","MTD3414",0.67544603,15.829991,288.979991,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"246","MTD3414",0.57768947,20.734106,293.884106,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"247","MTD3414",0.6551665,25.641968,298.791968,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"248","MTD3414",1.3282862,30.73573,303.88573,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"249","MTD3414",2.2583647,35.892708,309.042708,283.956441,0.58638793,283.956441,309.042708,0.65,319.042708,1.3,309.042708
"279","MTD3485",1.2778686,2.2048612,275.3548612,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"280","MTD3485",2.3453858,10.154579,283.304579,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"281","MTD3485",2.6209288,15.080457,288.230457,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"282","MTD3485",4.092831,20.120468,293.270468,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"283","MTD3485",7.046947,24.771404,297.921404,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"284","MTD3485",12.223373,29.370443,302.520443,283.304579,2.3453858,275.3548612,302.520443,0.65,312.520443,1.3,302.520443
"285","MTD3487",0.28688118,2.2555597,275.4055597,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
"286","MTD3487",1.0420486,9.914536,283.064536,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
"287","MTD3487",2.9503076,15.497364,288.647364,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
"288","MTD3487",3.6093395,20.003838,293.153838,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
"289","MTD3487",4.7200375,25.357096,298.507096,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
"290","MTD3487",4.184654,29.181515,302.331515,283.064536,1.0420486,275.4055597,288.647364,0.65,302.331515,1.3,298.507096
